Nodal Displacements: 
Node    u1       u2 
23    0.0185   -0.0098   -0.0008    1.9312   -0.2481   -0.0600
24    0.0175   -0.0073    0.0030    1.9404    0.0324    0.2336
25    0.0377   -0.0120   -0.0068    4.3831    0.5580   -0.5197
26    0.0210   -0.0076    0.0059    2.3813    0.1823    0.4506
27    0.0164   -0.0067    0.0020    1.8201    0.0465    0.1559
28    0.0174   -0.0092    0.0001    1.8166   -0.2322    0.0101
29    0.0204   -0.0073   -0.0059    2.3227    0.1932   -0.4532
30    0.0184   -0.0081   -0.0020    2.0076   -0.0303   -0.1515
31    0.0169   -0.0077    0.0015    1.8311   -0.0609    0.1137
32    0.0169   -0.0075    0.0007    1.8445   -0.0319    0.0535
33    0.0116   -0.0042    0.0015    1.3153    0.0969    0.1174
34    0.0121   -0.0042    0.0011    1.3864    0.1276    0.0878
35    0.0164   -0.0071   -0.0001    1.8016   -0.0042   -0.0042
36    0.0045   -0.0052    0.0043    0.3096   -0.4395    0.3289
37    0.0077   -0.0006    0.0007    1.0031    0.3671    0.0507
38    0.0077   -0.0006   -0.0007    1.0065    0.3687   -0.0532
39    0.0058   -0.0004   -0.0009    0.7634    0.2856   -0.0701
40    0.0092   -0.0020   -0.0013    1.1287    0.2681   -0.1024
41    0.0084   -0.0017   -0.0021    1.0378    0.2623   -0.1648
42    0.0121   -0.0067   -0.0048    1.2365   -0.2054   -0.3726
43    0.0164   -0.0071    0.0002    1.7977   -0.0120    0.0120
44    0.0195   -0.0089    0.0031    2.1034   -0.0820    0.2370
45    0.0185   -0.0098   -0.0008    1.9307   -0.2485   -0.0600
46    0.0175   -0.0073    0.0030    1.9405    0.0324    0.2337
47    0.0377   -0.0120   -0.0068    4.3829    0.5580   -0.5196
48    0.0210   -0.0076    0.0059    2.3812    0.1820    0.4506
49    0.0164   -0.0067    0.0020    1.8201    0.0464    0.1559
50    0.0174   -0.0092    0.0001    1.8171   -0.2321    0.0097
51    0.0204   -0.0073   -0.0059    2.3235    0.1936   -0.4528
52    0.0184   -0.0081   -0.0020    2.0073   -0.0308   -0.1518
53    0.0112   -0.0045    0.0031    1.2437    0.0372    0.2374
54    0.0169   -0.0075    0.0007    1.8451   -0.0316    0.0531
55    0.0116   -0.0042    0.0015    1.3159    0.0972    0.1169
56    0.0107   -0.0038    0.0031    1.2260    0.1057    0.2349
57    0.0164   -0.0071   -0.0001    1.8014   -0.0041   -0.0041
58    0.0072   -0.0000   -0.0000    0.9652    0.4084   -0.0002
59    0.0058   -0.0004   -0.0009    0.7638    0.2857   -0.0700
60    0.0126   -0.0059   -0.0028    1.3544   -0.0676   -0.2191
61    0.0171   -0.0074   -0.0005    1.8702   -0.0118   -0.0355
62    0.0172   -0.0087   -0.0004    1.8165   -0.1770   -0.0336
63    0.0153   -0.0066   -0.0011    1.6813   -0.0048   -0.0829
64    0.0135   -0.0059   -0.0021    1.4842   -0.0076   -0.1623
65    0.0164   -0.0071    0.0002    1.7978   -0.0120    0.0120
66    0.0053   -0.0016    0.0031    0.6242    0.0964    0.2398
67    0.0150   -0.0061    0.0004    1.6749    0.0493    0.0332
68    0.0122   -0.0073    0.0058    1.2153   -0.2836    0.4471
69    0.0189   -0.0081    0.0007    2.0702   -0.0048    0.0529
70    0.0195   -0.0101   -0.0004    2.0488   -0.2283   -0.0312
71    0.0194   -0.0088   -0.0010    2.1013   -0.0680   -0.0747
72    0.0375   -0.0118    0.0071    4.3665    0.5723    0.5458
73    0.0242   -0.0068    0.0001    2.8651    0.4836    0.0084
74    0.0171   -0.0084   -0.0003    1.8209   -0.1447   -0.0218
75    0.0086   -0.0036   -0.0039    0.9501    0.0110   -0.2998
76    0.0144   -0.0056   -0.0014    1.6128    0.0705   -0.1061
77    0.0189   -0.0080   -0.0005    2.0800    0.0068   -0.0352
78    0.0144   -0.0062   -0.0009    1.5858   -0.0035   -0.0693
79    0.0174   -0.0070   -0.0002    1.9414    0.0587   -0.0140
80    0.0009   -0.0040   -0.0002   -0.1051   -0.4885   -0.0118
81    0.0083   -0.0011   -0.0001    1.0499    0.3331   -0.0051
82    0.0107   -0.0038    0.0031    1.2262    0.1057    0.2348
83    0.0082   -0.0010    0.0000    1.0464    0.3377    0.0023
84    0.0132   -0.0056    0.0027    1.4503    0.0024    0.2096
85    0.0103   -0.0027   -0.0002    1.2325    0.2313   -0.0124
86    0.0122   -0.0073    0.0058    1.2170   -0.2851    0.4471
87    0.0189   -0.0081    0.0007    2.0701   -0.0049    0.0531
88    0.0165   -0.0090    0.0019    1.7025   -0.2623    0.1451
89    0.0194   -0.0088   -0.0010    2.1017   -0.0679   -0.0751
90    0.0375   -0.0118    0.0071    4.3667    0.5728    0.5460
91    0.0242   -0.0068    0.0001    2.8652    0.4837    0.0083
92    0.0117   -0.0082   -0.0016    1.0994   -0.4345   -0.1257
93    0.0070   -0.0133    0.0005    0.1802   -1.3835    0.0407
94    0.0198   -0.0087   -0.0001    2.1609   -0.0276   -0.0090
95    0.0194   -0.0088    0.0010    2.0975   -0.0703    0.0778
96    0.0083   -0.0011   -0.0001    1.0501    0.3328   -0.0053
97    0.0102   -0.0028   -0.0001    1.2150    0.2121   -0.0046
98    0.0084   -0.0017    0.0022    1.0287    0.2496    0.1701
99    0.0072   -0.0001   -0.0000    0.9618    0.3994   -0.0028
100    0.0092   -0.0020    0.0012    1.1241    0.2584    0.0935
101    0.0077   -0.0006    0.0007    1.0031    0.3671    0.0505
102    0.0068   -0.0133   -0.0000    0.1533   -1.3942   -0.0032
103    0.0120   -0.0088    0.0029    1.1056   -0.4922    0.2229
104    0.0117   -0.0082   -0.0016    1.0997   -0.4344   -0.1256
105    0.0070   -0.0133    0.0005    0.1793   -1.3848    0.0377
106    0.0164   -0.0074    0.0021    1.7787   -0.0528    0.1598
107    0.0171   -0.0084   -0.0003    1.8219   -0.1444   -0.0207
108    0.0237   -0.0071   -0.0093    2.7733    0.4051   -0.7132
109    0.0126   -0.0070   -0.0073    1.2994   -0.2080   -0.5584
110    0.0185   -0.0080    0.0019    2.0311   -0.0056    0.1448
111    0.0230   -0.0099   -0.0005    2.5174   -0.0117   -0.0385
112    0.0213   -0.0091   -0.0032    2.3418    0.0047   -0.2433
113    0.0164   -0.0046    0.0003    1.9466    0.3268    0.0221
114    0.0120   -0.0049    0.0017    1.3247    0.0253    0.1344
115    0.0094   -0.0032   -0.0000    1.0878    0.1180   -0.0017
116    0.0164   -0.0067   -0.0021    1.8239    0.0493   -0.1639
117    0.0242   -0.0091   -0.0003    2.7328    0.1759   -0.0194
118    0.0120   -0.0049   -0.0019    1.3307    0.0298   -0.1434
119    0.0174   -0.0072   -0.0029    1.9220    0.0279   -0.2248
120    0.0232   -0.0072    0.0085    2.7118    0.3727    0.6568
121    0.0210   -0.0091    0.0029    2.3006   -0.0087    0.2219
122    0.0164   -0.0074   -0.0021    1.7863   -0.0438   -0.1652
123    0.0185   -0.0092   -0.0012    1.9607   -0.1676   -0.0946
124    0.0113   -0.0057    0.0043    1.1914   -0.1116    0.3273
125    0.0120   -0.0088    0.0029    1.1067   -0.4921    0.2230
126    0.0198   -0.0086    0.0000    2.1626   -0.0208    0.0026
127    0.0107   -0.0038    0.0025    1.2215    0.1098    0.1899
128    0.0142   -0.0061    0.0012    1.5628   -0.0050    0.0916
129    0.0134   -0.0049   -0.0005    1.5152    0.1093   -0.0370
130    0.0071   -0.0004    0.0008    0.9397    0.3594    0.0629
131    0.0068   -0.0133    0.0000    0.1534   -1.3936    0.0002
132    0.0072   -0.0000   -0.0000    0.9655    0.4088   -0.0003
133    0.0071   -0.0004   -0.0008    0.9406    0.3617   -0.0615
134    0.0072   -0.0001   -0.0000    0.9619    0.3993   -0.0029
135    0.0073   -0.0014   -0.0025    0.9067    0.2346   -0.1942
136    0.0049   -0.0055   -0.0049    0.3419   -0.4566   -0.3802
137    0.0053   -0.0016    0.0031    0.6252    0.0958    0.2418
138    0.0115   -0.0040   -0.0017    1.3164    0.1282   -0.1343
139    0.0135   -0.0059   -0.0021    1.4845   -0.0081   -0.1624
140    0.0180   -0.0079    0.0002    1.9703   -0.0225    0.0162
141    0.0164   -0.0074    0.0021    1.7787   -0.0530    0.1596
142    0.0237   -0.0071   -0.0093    2.7730    0.4047   -0.7131
143    0.0126   -0.0070   -0.0073    1.2999   -0.2081   -0.5586
144    0.0185   -0.0080    0.0019    2.0312   -0.0053    0.1442
145    0.0230   -0.0099   -0.0005    2.5171   -0.0116   -0.0385
146    0.0213   -0.0091   -0.0032    2.3417    0.0047   -0.2432
147    0.0164   -0.0046    0.0003    1.9465    0.3267    0.0220
148    0.0120   -0.0049    0.0017    1.3248    0.0253    0.1343
149    0.0094   -0.0032   -0.0000    1.0879    0.1180   -0.0017
150    0.0164   -0.0067   -0.0021    1.8240    0.0493   -0.1638
151    0.0242   -0.0091   -0.0003    2.7328    0.1758   -0.0195
152    0.0120   -0.0049   -0.0019    1.3306    0.0298   -0.1434
153    0.0174   -0.0072   -0.0029    1.9217    0.0279   -0.2248
154    0.0232   -0.0072    0.0085    2.7138    0.3756    0.6577
155    0.0210   -0.0091    0.0029    2.3013   -0.0091    0.2222
156    0.0164   -0.0074   -0.0022    1.7862   -0.0436   -0.1654
157    0.0185   -0.0092   -0.0012    1.9615   -0.1679   -0.0947
158    0.0165   -0.0090    0.0019    1.7047   -0.2615    0.1436
159    0.0045   -0.0052    0.0043    0.3077   -0.4399    0.3285
160    0.0198   -0.0086    0.0000    2.1629   -0.0210    0.0025
161    0.0154   -0.0073    0.0017    1.6532   -0.0908    0.1270
162    0.0142   -0.0061    0.0012    1.5635   -0.0044    0.0911
